,id,label
0,000631,2
1,000633,2
2,000635,2
3,000642,2
4,000655,2
5,000694,2
6,000696,2
7,000697,2
8,000722,2
9,000723,2
10,000724,2
11,000728,2
12,000731,2
13,000769,2
14,000771,2
15,000783,2
16,000801,2
17,000807,2
18,000814,2
19,000820,2
20,000821,2
21,000825,2
22,001010,2
23,001029,2
24,001048,2
25,001124,0
26,001144,1
27,001341,2
28,001390,2
29,001419,2
30,001010,2
31,001013,1
32,001021,2
33,001026,2
34,001029,2
35,001048,2
36,001064,1
37,001095,1
38,001104,2
39,001124,0
40,001133,2
41,001156,2
42,001158,1
43,001179,2
44,001184,2
45,001186,2
46,001187,2
47,001190,1
48,001419,2
49,001477,2
50,000016,2
51,000022,2
52,000029,2
53,000030,2
54,000037,2
55,000038,2
56,000039,2
57,000043,2
58,000046,2
59,000047,2
60,000073,2
61,000075,2
62,000077,2
63,000206,2
64,000207,2
65,000215,2
66,000217,2
67,000218,2
68,000224,2
69,000228,2
70,000229,2
71,000231,2
72,000232,2
73,000235,2
74,000236,2
75,000237,2
76,000238,2
77,000240,2
78,000241,2
79,000242,2
80,000243,2
81,000264,2
82,000265,2
83,000267,2
84,000268,2
85,000272,2
86,000273,2
87,000277,2
88,000278,2
89,000279,2
90,000280,2
91,000283,2
92,000285,2
93,000286,2
94,000288,2
95,000299,2
96,000344,2
97,000348,2
98,000356,2
99,000376,2
100,000378,2
101,000381,2
102,000518,2
103,000528,2
104,000561,2
105,000564,2
106,000567,2
107,000568,2
108,000590,2
109,004221,2
110,004263,2
111,004273,2
112,004313,2
113,004318,2
114,004320,2
115,004321,2
116,004333,2
117,004348,2
118,004362,2
119,004380,1
120,004384,1
121,004477,1
122,005007,2
123,005030,1
124,005034,2
125,005052,2
126,005054,2
127,005153,2
128,005174,0
129,005441,2
130,005537,2
131,005552,0
132,005556,2
133,005559,2
